,Algo,Accuracy(KFold),Test,Train,Recall,Precision,F1,ROC_AUC_SCORE
0,GaussianNB,0.9507692307692308,0.9533492822966507,0.9669230769230769,0.6621004566210046,0.9731543624161074,0.7880434782608695,0.8296737658191052
1,BernoulliNB,0.9751282051282052,0.9766746411483254,0.9856410256410256,0.8584474885844748,0.9591836734693877,0.9060240963855422,0.9807326677288682
2,MultinomialNB,0.9602564102564102,0.9527511961722488,0.9664102564102565,0.6894977168949772,0.9320987654320988,0.7926509186351707,0.9578890470668464
3,LogisticRegression,0.9817948717948719,0.979066985645933,0.9976923076923077,0.8447488584474886,0.9946236559139785,0.9135802469135802,0.9852674516902519
4,KNN,0.9474358974358974,0.9485645933014354,1.0,0.6073059360730594,1.0,0.7556818181818182,0.9447529438384448
5,SVC,0.9828205128205129,0.9826555023923444,1.0,0.8949771689497716,0.9702970297029703,0.9311163895486936,0.9865056394108238
6,DecisionTreesC,0.898974358974359,0.8989234449760766,0.9030769230769231,0.7990867579908676,0.5833333333333334,0.6743737957610791,0.8907236484426804
7,RandomForestClassifier,0.9733333333333334,0.97188995215311,0.9802564102564103,0.7990867579908676,0.9831460674157303,0.8816120906801008,0.9779168905775171
8,GradientBoostingClassifier,0.978974358974359,0.9772727272727273,0.9997435897435898,0.8447488584474886,0.9788359788359788,0.9068627450980393,0.9901997756177581
9,AdaBoostClassifier,0.9666666666666666,0.9641148325358851,0.9997435897435898,0.730593607305936,0.9937888198757764,0.8421052631578947,0.9861002429236314
10,BaggingClassifier,0.976923076923077,0.9772727272727273,0.9997435897435898,0.8264840182648402,1.0,0.905,0.9899310825971773
11,VotingClassifier,0.9812820512820514,0.979066985645933,0.9974358974358974,0.8493150684931506,0.9893617021276596,0.914004914004914,0.9872912915177856
